recipe_name,ingredients,directions,cuisine_path,nutrition,img_src,ingredients_list,ingredients_parsed,total_mins
Pear or Apple Cobbler,4  pears cored and cut into 1/2-inch slices 1 teaspoon lemon juice ⅓ cup maple syrup 2 tablespoons melted butter,"Preheat oven to 375 degrees F (190 degrees C).
Toss pears and lemon juice together in a bowl until coated; spread into a 9x9-inch baking dish. Pour maple syrup and 2 tablespoons melted butter over pear mixture; toss to coat.
Mix oats brown sugar 1/2 cup melted butter flour and cinnamon together in a bowl until crumbly; sprinkle over pear mixture.
Bake in the preheated oven until crust is golden and pears are tender about 45 minutes.",Desserts,"Total Fat: 14.0, Saturated Fat: 8.0, Total Carbohydrate: 55.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/6_DriKlvyc1cOW1uZpzwQcOYYIU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1106661-pear-or-apple-cobbler-kawika74-4x3-1-8d866ec2fb2d40b3bd261d12946b1b8a.jpg,4  pears cored and cut into 1/2-inch slices 1 teaspoon lemon juice ⅓ cup maple syrup 2 tablespoons melted butter,quantity: 1.0 unit: teaspoon ingredient: lemon juice quantity: 0.33 unit: cup ingredient: maple quantity: 2.0 unit: tablespoons ingredient: butter,60
Pear Bread I,3 cups all-purpose flour ¼ teaspoon baking powder 1 teaspoon baking soda 1 teaspoon salt 1 tablespoon ground cinnamon ¾ cup vegetable oil 3  eggs 2 cups white sugar 2 cups peeled shredded pears 1 cup chopped pecans 2 teaspoons vanilla extract,"In a large mixing bowl combine flour baking powder baking soda salt and cinnamon. Make a well in the center of the bowl.
In a separate bowl combine the oil eggs sugar grated pears pecans and vanilla. Blend well. Add to well of dry ingredients. Stir until just moistened. Spoon batter into 2 greased and floured 8x5x3 inch loaf pans.
Bake in a preheated 325 degree F (165 degrees C) oven for one hour and 15 minutes. Cool on wire rack before removing from the loaf pans.",Breakfast and Brunch,"Total Fat: 13.0, Saturated Fat: 2.0, Total Carbohydrate: 38.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/L6TZMQYo3bsXIrYsuBoM7UvMSTw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16652-pear-bread-i-LynnInHK-4x3-1-218794fb649d41c299be48d735368dcc.jpg,3 cups all-purpose flour ¼ teaspoon baking powder 1 teaspoon baking soda 1 teaspoon salt 1 tablespoon ground cinnamon ¾ cup vegetable oil 3  eggs 2 cups white sugar 2 cups peeled shredded pears 1 cup chopped pecans 2 teaspoons vanilla extract,quantity: 0.25 unit: teaspoon ingredient: baking quantity: 1.0 unit: teaspoon ingredient: baking quantity: 1.0 unit: teaspoon ingredient: salt quantity: 1.0 unit: tablespoon ingredient: cinnamon quantity: 0.75 unit: cup ingredient: oil quantity: 3.0 unit: piece ingredient: eggs quantity: 2.0 unit: cups ingredient: sugar quantity: 2.0 unit: cups ingredient: shredded quantity: 1.0 unit: cup ingredient: nut quantity: 2.0 unit: teaspoons ingredient: vanilla,55
Pear Honey,8 cups peeled cored and chopped pears 1 cup unsweetened pineapple juice 8 cups white sugar,"Place chopped pears into a large pot and pour pineapple juice over them to prevent them from browning. Stir in sugar and bring to a boil over medium-high heat. Stir frequently to prevent scorching. When the pears are at a full boil reduce heat to medium and cook until the mixture is the color and texture of honey. The longer you cook it the thicker it gets. Cooking time is usually 2 to 3 hours.
Ladle into hot sterile jars filling to within 1/4 inch of the top. Wipe rims with a clean damp cloth and seal jars with lids and rings. Process in a boiling water canner for 10 minutes or the amount of time recommended by your local extension for your area.









",Side Dish,"Total Fat: 0, Saturated Fat: 0, Total Carbohydrate: 29.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/n923hx8NoCKYICKdYuKaFaEPs3c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2529923-9c8531a0083d4b84b968272b67f88753.jpg,8 cups peeled cored and chopped pears 1 cup unsweetened pineapple juice 8 cups white sugar,quantity: 1.0 unit: cup ingredient: apple quantity: 8.0 unit: cups ingredient: sugar,225
Apple Pear Sauce,4  pears cut into chunks 3  apples cut into chunks ½ cup water 1 teaspoon vanilla extract ¼ teaspoon ground cinnamon,"Heat a skillet over medium heat; add pears apples water and vanilla extract to the hot skillet. Cover and simmer fruit mixture for 10 minutes; remove lid and cook until most of liquid is evaporated and fruit is softened 10 to 15 more minutes.
Remove skillet from heat and transfer fruit mixture and any remaining liquid to a food processor. Process until smooth; stir in cinnamon. Serve warm or refrigerate up to 4 days.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 20.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/emTxhtksVWJrUntLV7wu_OCvnsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1018181-apple-pear-sauce-pomplemousse-4x3-1-9db592fce0994ad989c5bf09ac312315.jpg,4  pears cut into chunks 3  apples cut into chunks ½ cup water 1 teaspoon vanilla extract ¼ teaspoon ground cinnamon,quantity: 3.0 unit: piece ingredient: apple quantity: 0.5 unit: cup ingredient: water quantity: 1.0 unit: teaspoon ingredient: vanilla quantity: 0.25 unit: teaspoon ingredient: cinnamon,35
Duck Sauce,5 cups coarsely chopped mixed fruit (apples plums and pears) 1 cup water ¾ cup apple juice 1 teaspoon soy sauce 1 tablespoon apricot preserves ½ cup packed light brown sugar ½ teaspoon garlic powder ½ teaspoon dry mustard,"Place fruit in a stock pot over medium high heat. Add water apple juice soy sauce apricot preserves brown sugar garlic powder and dry mustard. Bring to a simmer stirring frequently to dissolve brown sugar. Reduce heat and continue simmering for 40 minutes or until fruit is completely soft. Remove from heat and allow to cool.
Blend sauce in a food processor or blender until completely smooth adjusting consistency with additional water if desired. Cover and refrigerate until ready to use.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 56.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/sItUViUCIoh9ljrRlEElXDTgzBE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4815156-b2828d6f42094e348cf00dc0a612f42a.jpg,5 cups coarsely chopped mixed fruit (apples plums and pears) 1 cup water ¾ cup apple juice 1 teaspoon soy sauce 1 tablespoon apricot preserves ½ cup packed light brown sugar ½ teaspoon garlic powder ½ teaspoon dry mustard,quantity: 1.0 unit: cup ingredient: water quantity: 0.75 unit: cup ingredient: apple quantity: 1.0 unit: teaspoon ingredient: soy quantity: 1.0 unit: tablespoon ingredient: apricot quantity: 0.5 unit: cup ingredient: sugar quantity: 0.5 unit: teaspoon ingredient: garlic quantity: 0.5 unit: teaspoon ingredient: dry,90
Plum Pudding,12  plums pitted and halved 1 cup white sugar ½ cup water 2 tablespoons tapioca ½ teaspoon ground cinnamon 2 ¼ cups all-purpose baking mix 3 tablespoons white sugar ⅔ cup milk 3 tablespoons margarine melted,"Preheat oven to 350 degrees F (175 degrees C).
In a 2 quart baking dish stir together plums 1 cup sugar water tapioca and cinnamon. Bake in preheated oven for 25 minutes. (You can also cook the plum mixture in the microwave for 15 minutes.)
Raise oven temperature to 450 degrees F (230 degrees C).
In a medium bowl stir together baking mix 3 tablespoons sugar milk and melted margarine to form a biscuit dough. Drop dough by spoonfuls onto plum mixture. Bake in preheated oven 10 minutes until golden brown. Let cool slightly before serving.",Desserts,"Total Fat: 13.0, Saturated Fat: 3.0, Total Carbohydrate: 86.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/vgcuOaraW9y3Qa2IDWNacC85xCA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5539311-99dbf688823f4646a85a0fb066e3ceff.jpg,12  plums pitted and halved 1 cup white sugar ½ cup water 2 tablespoons tapioca ½ teaspoon ground cinnamon 2 ¼ cups all-purpose baking mix 3 tablespoons white sugar ⅔ cup milk 3 tablespoons margarine melted,quantity: 1.0 unit: cup ingredient: sugar quantity: 0.5 unit: cup ingredient: water quantity: 2.0 unit: tablespoons ingredient: tapioca quantity: 0.5 unit: teaspoon ingredient: cinnamon quantity: 2.25 unit: cups ingredient: all-purpose quantity: 3.0 unit: tablespoons ingredient: sugar quantity: 0.67 unit: cup ingredient: milk quantity: 3.0 unit: tablespoons ingredient: margarine,50
My Mother-in-Laws Plum Bread,1 cup pitted chopped plums 1 tablespoon all-purpose flour ½ cup margarine 1 cup white sugar ½ teaspoon vanilla extract 2  eggs 1 ½ cups all-purpose flour ½ teaspoon salt ¼ teaspoon baking soda ⅓ cup plain yogurt ¼ cup brown sugar,"Preheat oven to 350 degrees F (175 degrees C). Spray a 9x5-inch loaf pan with cooking spray or line with parchment paper.
Sprinkle chopped plums with 1 tablespoon of flour in a bowl and toss to coat. Set aside. In a large bowl beat the margarine white sugar and vanilla extract with an electric mixer until light and fluffy. Beat in the eggs. In another bowl sift together 1 1/2 cup of flour with salt and baking soda. Stir the dry ingredients into the egg mixture alternating with yogurt until the mixture forms a smooth batter. Lightly stir in the flour-coated plums and pour the batter into the prepared loaf pan. Sprinkle the top of the batter with brown sugar.
Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean 45 to 50 minutes. Remove from oven and let cool in the pan 10 to 15 minutes before removing from pan for slicing.",Bread,"Total Fat: 13.0, Saturated Fat: 3.0, Total Carbohydrate: 51.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/1MOQ_bXEjlW-Sp_zNHomKuSBSpc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2507917-my-mother-in-laws-plum-bread-SherYum-4x3-1-ecb98977df3041aa9ab294e5b9786fbd.jpg,1 cup pitted chopped plums 1 tablespoon all-purpose flour ½ cup margarine 1 cup white sugar ½ teaspoon vanilla extract 2  eggs 1 ½ cups all-purpose flour ½ teaspoon salt ¼ teaspoon baking soda ⅓ cup plain yogurt ¼ cup brown sugar,quantity: 1.0 unit: tablespoon ingredient: flour quantity: 0.5 unit: cup ingredient: margarine quantity: 1.0 unit: cup ingredient: sugar quantity: 0.5 unit: teaspoon ingredient: vanilla quantity: 2.0 unit: piece ingredient: eggs quantity: 1.5 unit: cups ingredient: flour quantity: 0.5 unit: teaspoon ingredient: salt quantity: 0.25 unit: teaspoon ingredient: baking quantity: 0.33 unit: cup ingredient: plain quantity: 0.25 unit: cup ingredient: sugar,70
Old Fashioned Prune Cake,1 cup vegetable oil 3  eggs 1 ½ cups white sugar 2 cups all-purpose flour 1 teaspoon baking soda 1 teaspoon salt 1 teaspoon ground allspice 1 teaspoon ground cinnamon 1 teaspoon ground nutmeg 1 cup buttermilk 1 ¼ teaspoons vanilla extract 1 cup prunes pitted and chopped 1 ½ cups chopped pecans ¾ cup butter ¾ cup buttermilk 1 ½ teaspoons dark corn syrup 1 ½ cups white sugar 2 teaspoons vanilla extract,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour Bundt or tube pan.
In a medium bowl mix together flour soda salt allspice cinnamon and nutmeg. Set aside.
In a large bowl combine oil eggs and 1 1/2 cup sugar. Beat 2 minutes at medium speed.
Add flour mixture alternating with 1 cup buttermilk starting and ending with dry ingredients. beat well after each addition. Stir in prunes pecans and 1 1/4 teaspoon vanilla.
Pour into greased and floured bundt or tube pan and bake at 350 degrees F (175 degrees C) for 1 hour or until a toothpick comes out clean when inserted in the center.
Make large deep holes in hot cake and pour topping in holes and on top of cake a little at a time giving it time to soak in.
For the topping: In saucepan over medium heat cook butter 3/4 cup buttermilk corn syrup and 1 1/2 cup sugar until sugar and butter melt. Remove from heat and add 2 teaspoons vanilla and stir.",Desserts,"Total Fat: 42.0, Saturated Fat: 11.0, Total Carbohydrate: 80.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/7YWuvIQxzcUL2ke8UOafTrR5jHI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/702919-87265fcb01244b989896dece584ed50b.jpg,1 cup vegetable oil 3  eggs 1 ½ cups white sugar 2 cups all-purpose flour 1 teaspoon baking soda 1 teaspoon salt 1 teaspoon ground allspice 1 teaspoon ground cinnamon 1 teaspoon ground nutmeg 1 cup buttermilk 1 ¼ teaspoons vanilla extract 1 cup prunes pitted and chopped 1 ½ cups chopped pecans ¾ cup butter ¾ cup buttermilk 1 ½ teaspoons dark corn syrup 1 ½ cups white sugar 2 teaspoons vanilla extract,quantity: 3.0 unit: piece ingredient: eggs quantity: 1.5 unit: cups ingredient: sugar quantity: 2.0 unit: cups ingredient: flour quantity: 1.0 unit: teaspoon ingredient: baking quantity: 1.0 unit: teaspoon ingredient: salt quantity: 1.0 unit: teaspoon ingredient: allspice quantity: 1.0 unit: teaspoon ingredient: cinnamon quantity: 1.0 unit: teaspoon ingredient: nutmeg quantity: 1.0 unit: cup ingredient: butter quantity: 1.25 unit: teaspoons ingredient: vanilla quantity: 1.0 unit: cup ingredient: prunes quantity: 1.5 unit: cups ingredient: nut quantity: 0.75 unit: cup ingredient: butter quantity: 0.75 unit: cup ingredient: butter quantity: 1.5 unit: teaspoons ingredient: dark quantity: 1.5 unit: cups ingredient: sugar quantity: 2.0 unit: teaspoons ingredient: vanilla,55
Plum Pie,3 cups all-purpose flour ¾ cup white sugar 2 ½ teaspoons baking powder ⅛ teaspoon salt ⅔ cup butter 2  eggs 1 teaspoon vanilla extract 3 tablespoons milk ½ teaspoon lemon zest ½ cup all-purpose flour ¼ cup packed brown sugar ½ teaspoon ground cinnamon ¼ teaspoon salt ⅓ cup chopped hazelnuts 1 teaspoon lemon zest 3 tablespoons butter 5 cups plums pitted and sliced 1 cup white sugar ¼ cup all-purpose flour 1 teaspoon ground cinnamon ½ teaspoon ground nutmeg,"Preheat oven to 375 degrees F (190 degrees C).
To Make Crust: In a large bowl combine 3 cups flour 3/4 cups white sugar baking powder and 1/8 teaspoon salt. Mix thoroughly then cut in 2/3 cup butter or margarine with a pastry blender until pieces are the size of small peas. Stir in eggs vanilla extract milk and lemon zest. Mix just until all ingredients are combined. Allow dough to rest in refrigerator.
To Make Streusel Topping: In a medium bowl mix 1/2 cup flour brown sugar 1/2 teaspoon cinnamon 1/4 teaspoon salt chopped nuts and grated lemon zest. Work in butter or margarine with fingers until all ingredients are well combined. Set aside.
To Make Fruit Filling: Place pitted and sliced fruit in a large bowl. In a small bowl mix remaining sugar flour cinnamon and nutmeg until thoroughly combined. Pour over fruit and stir gently until all fruit is evenly coated.
Roll out pie crust and place in a 9 inch pie pan. Trim and flute edges then pour in fruit filling. Evenly cover fruit with streusel topping and bake in preheated oven for 45 to 55 minutes. Serve warm or at room temperature.",Desserts,"Total Fat: 25.0, Saturated Fat: 13.0, Total Carbohydrate: 109.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/ZpNLKXg0brzWNb_1V9fHcrLPDxs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/709578-plum-pie-Addylin-4x3-1-9193a2bc5e0b40a08ca124840f9f70bb.jpg,3 cups all-purpose flour ¾ cup white sugar 2 ½ teaspoons baking powder ⅛ teaspoon salt ⅔ cup butter 2  eggs 1 teaspoon vanilla extract 3 tablespoons milk ½ teaspoon lemon zest ½ cup all-purpose flour ¼ cup packed brown sugar ½ teaspoon ground cinnamon ¼ teaspoon salt ⅓ cup chopped hazelnuts 1 teaspoon lemon zest 3 tablespoons butter 5 cups plums pitted and sliced 1 cup white sugar ¼ cup all-purpose flour 1 teaspoon ground cinnamon ½ teaspoon ground nutmeg,quantity: 0.75 unit: cup ingredient: sugar quantity: 2.5 unit: teaspoons ingredient: baking quantity: 0.12 unit: teaspoon ingredient: salt quantity: 0.67 unit: cup ingredient: butter quantity: 2.0 unit: piece ingredient: eggs quantity: 1.0 unit: teaspoon ingredient: vanilla quantity: 3.0 unit: tablespoons ingredient: milk quantity: 0.5 unit: teaspoon ingredient: lemon quantity: 0.5 unit: cup ingredient: flour quantity: 0.25 unit: cup ingredient: sugar quantity: 0.5 unit: teaspoon ingredient: cinnamon quantity: 0.25 unit: teaspoon ingredient: salt quantity: 0.33 unit: cup ingredient: hazelnuts quantity: 1.0 unit: teaspoon ingredient: lemon quantity: 3.0 unit: tablespoons ingredient: butter quantity: 5.0 unit: cups ingredient: plums quantity: 1.0 unit: cup ingredient: sugar quantity: 0.25 unit: cup ingredient: flour quantity: 1.0 unit: teaspoon ingredient: cinnamon quantity: 0.5 unit: teaspoon ingredient: nutmeg,90
Plum Cake,3  eggs ½ cup butter softened ½ cup white sugar 1 teaspoon lemon zest 1 cup all-purpose flour ½ teaspoon baking powder 1 ¼ cups plums pitted and quartered,"Preheat oven to 375 degrees F (190 degrees C). Grease and flour one 9-inch tube pan.
Separate the eggs. In a small bowl beat the egg whites until stiff peaks form and set aside.
In a large bowl cream the butter and sugar. Beat in the egg yolks and the lemon zest.
Stir together the flour and baking powder and then blend the flour mixture into the creamed mixture. Gently fold in the egg whites. Spread the batter evenly into the prepared pan. There will only be a little over an inch of batter. Arrange the plums skin side down attractively over the batter.
Bake in preheated oven until a tester inserted in the center comes out clean about 40 minutes. Transfer to a cooling rack and allow to cool before serving.",Desserts,"Total Fat: 14.0, Saturated Fat: 8.0, Total Carbohydrate: 28.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/EuJgprgWfsIlcmweJ1mKXOovudA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5717603-plum-cake-honeypoo-4x3-1-1935904447d742e8b67bc61b45d6eaa7.jpg,3  eggs ½ cup butter softened ½ cup white sugar 1 teaspoon lemon zest 1 cup all-purpose flour ½ teaspoon baking powder 1 ¼ cups plums pitted and quartered,quantity: 0.5 unit: cup ingredient: butter quantity: 0.5 unit: cup ingredient: sugar quantity: 1.0 unit: teaspoon ingredient: lemon quantity: 1.0 unit: cup ingredient: flour quantity: 0.5 unit: teaspoon ingredient: baking quantity: 1.25 unit: cups ingredient: plums,60
Roasted Pork Tenderloin with Fresh Plum Sauce,1  pork tenderloin   salt and ground black pepper to taste 1 tablespoon vegetable oil 1  red onion sliced 2  shallots sliced 3  fresh thyme sprigs or more to taste 2  firm plums pitted and each cut into 4 wedges 1 cup water 1 tablespoon balsamic vinegar 1 teaspoon cold butter,"Preheat oven to 400 degrees F (200 degrees C). Generously season pork tenderloin with salt and black pepper.
Heat oil in a large oven-proof skillet over medium-high heat. Cook tenderloin until browned on all sides 2 to 4 minutes per side. Transfer tenderloin to a plate.
Saute onion with a pinch of salt in the same skillet until just softening 3 to 5 minutes. Add shallots reduce heat to medium and cook and stir until shallots and onion are golden brown and caramelized about 10 minutes.
Stir thyme into onion mixture; place tenderloin over onion mixture and set plum quarters skin-side down around pork tenderloin. Transfer skillet to preheated oven.
Cook until pork is slightly pink in the center about 20 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Transfer pork and plums to a plate.
Place skillet over medium-high heat and pour water and balsamic vinegar into onion mixture. Bring mixture to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Cook and stir until liquid is reduced by half 5 to 10 minutes; remove from heat. Whisk butter into mixture until melted and sauce is shiny. Pour sauce over pork and plums.









",Meat and Poultry,"Total Fat: 15.0, Saturated Fat: 4.0, Total Carbohydrate: 23.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/iGciJtfPaxn0zHg80MWOWRjVVDc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1398809-865b6cdd0ce941d2aac1c67819c804a3.jpg,1  pork tenderloin salt and ground black pepper to taste 1 tablespoon vegetable oil 1  red onion sliced 2  shallots sliced 3  fresh thyme sprigs or more to taste 2  firm plums pitted and each cut into 4 wedges 1 cup water 1 tablespoon balsamic vinegar 1 teaspoon cold butter,quantity: 1.0 unit: tablespoon ingredient: oil quantity: 1.0 unit: piece ingredient: red quantity: 2.0 unit: piece ingredient: shallots quantity: 3.0 unit: piece ingredient: thyme quantity: 2.0 unit: piece ingredient: firm quantity: 1.0 unit: cup ingredient: water quantity: 1.0 unit: tablespoon ingredient: balsamic quantity: 1.0 unit: teaspoon ingredient: butter,60
Plum Kuchen,½ cup white sugar 2 tablespoons margarine 2  eggs beaten 1 cup all-purpose flour 1 teaspoon baking powder ¼ teaspoon salt 1 teaspoon vanilla extract 10  Italian plums halved and pitted,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 7x11-inch baking dish.
Beat 1/2 cup sugar and 2 tablespoons margarine together in a bowl using an electric mixer until smooth and creamy. Mix eggs 1 cup flour baking powder and salt into creamed margarine mixture; stir in vanilla. Pour batter into the prepared baking dish. Arrange plums skin side-down atop batter.
Mix 1 cup sugar 1/2 cup flour 3 tablespoons margarine and cinnamon together in a bowl until crumbly; spoon over batter and plums.
Bake in the preheated oven until plums are softened about 35 minutes.",Desserts,"Total Fat: 6.0, Saturated Fat: 1.0, Total Carbohydrate: 44.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/q38w7kdyPM0XR4bdA2a6a-EKLRU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1029506-5ce9b574330747f98232663d4f8a7312.jpg,½ cup white sugar 2 tablespoons margarine 2  eggs beaten 1 cup all-purpose flour 1 teaspoon baking powder ¼ teaspoon salt 1 teaspoon vanilla extract 10  Italian plums halved and pitted,quantity: 2.0 unit: tablespoons ingredient: margarine quantity: 2.0 unit: piece ingredient: eggs quantity: 1.0 unit: cup ingredient: flour quantity: 1.0 unit: teaspoon ingredient: baking quantity: 0.25 unit: teaspoon ingredient: salt quantity: 1.0 unit: teaspoon ingredient: vanilla quantity: 10.0 unit: piece ingredient: italian,50
Plum Pudding Sauce,2 tablespoons margarine ¾ cup white sugar 1  egg 2 cups milk 2 teaspoons all-purpose flour 1 teaspoon vanilla extract,In a small saucepan over medium heat combine margarine sugar and the egg. Pour in milk and cook until mixture begins to bubble; be careful not to scald. Stir in flour and vanilla; mix well and serve.,Side Dish,"Total Fat: 9.0, Saturated Fat: 3.0, Total Carbohydrate: 45.0, Dietary Fiber: 0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/7t2PIZl_9z9oZX5Bh0nIvn9pdvE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7938641-6be810de25e643f6b35c45da03e671bf.jpg,2 tablespoons margarine ¾ cup white sugar 1  egg 2 cups milk 2 teaspoons all-purpose flour 1 teaspoon vanilla extract,quantity: 0.75 unit: cup ingredient: sugar quantity: 1.0 unit: piece ingredient: egg quantity: 2.0 unit: cups ingredient: milk quantity: 2.0 unit: teaspoons ingredient: flour quantity: 1.0 unit: teaspoon ingredient: vanilla,25
Plum Butter,4 ½ pounds plums pitted and diced ¼ cup water or as needed 1 cup white sugar,"Place plums in a large stockpot and add enough water to cover the bottom of stockpot; cook over very low heat stirring occasionally until plums are broken down about 2 hours. Remove stockpot from heat and cool for 2 hours.
Return stockpot to stovetop over low heat; cook gently for 2 to 3 hours. Remove from heat and keep at room temperature 8 hours to overnight.
Cook plums over low heat stirring occasionally about 2 hours. Remove from heat and let stand at room temperature for 2 hours.
Bring plums to a boil; add sugar lower heat and simmer until thickened about 15 minutes.
Sterilize jars and lids in boiling water for at least 5 minutes. Pack plum butter into hot jars filling to within 1/4 inch of the top. Run a clean knife or thin spatula around the insides of the jars to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil cover the pot and process for 15 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface several inches apart until cool. Press the top of each lid with a finger ensuring that the seal is tight (lid does not move up or down at all). Store in a cool dark area.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 14.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/F367I96e_ETi64IVDNtGh3Z5BNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4540723-86e304d70526487cab5bf29a04bb019f.jpg,4 ½ pounds plums pitted and diced ¼ cup water or as needed 1 cup white sugar,quantity: 0.25 unit: cup ingredient: water quantity: 1.0 unit: cup ingredient: sugar,1135
Spicy Oven-Roasted Plums,4  plums halved and pitted ½ cup orange juice 2 tablespoons packed brown sugar ½ teaspoon ground cinnamon ⅛ teaspoon ground nutmeg ⅛ teaspoon cumin ⅛ teaspoon ground cardamom ¼ cup toasted slivered almonds (Optional),"Preheat the oven to 400 degrees F (200 degrees C). Grease a shallow baking dish with cooking spray.
Place plums cut-side up in a single layer in the prepared baking dish.
Whisk together orange juice brown sugar cinnamon nutmeg cumin and cardamom in a bowl; drizzle over plums.
Bake in the preheated oven until plums are hot and sauce is bubbly about 20 minutes. Top with toasted almonds.",Everyday Cooking,"Total Fat: 4.0, Saturated Fat: 0.0, Total Carbohydrate: 19.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/co81r6qT0K9ldsszv3o2Ns2HIMM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5943865-ba16b697ab8148b4a1850e32aef0defb.jpg,4  plums halved and pitted ½ cup orange juice 2 tablespoons packed brown sugar ½ teaspoon ground cinnamon ⅛ teaspoon ground nutmeg ⅛ teaspoon cumin ⅛ teaspoon ground cardamom ¼ cup toasted slivered almonds (Optional),quantity: 0.5 unit: cup ingredient: orange quantity: 2.0 unit: tablespoons ingredient: sugar quantity: 0.5 unit: teaspoon ingredient: cinnamon quantity: 0.12 unit: teaspoon ingredient: nutmeg quantity: 0.12 unit: teaspoon ingredient: cumin quantity: 0.12 unit: teaspoon ingredient: cardamom quantity: 0.25 unit: cup ingredient: nut,35
