recipe_name,directions,category,nutrition,img_src,ingredients_parsed,tags,total_mins
Maries Peach Dump Cake,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with margarine.
Pour peaches and heavy syrup into the prepared baking dish. Spread cake mix evenly over peaches. Arrange butter pats in even rows on the cake mix.
Bake in the preheated oven until top of cake is golden brown 35 to 40 minutes.",Desserts,"Total Fat: 17.0, Saturated Fat: 8.0, Total Carbohydrate: 42.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/l1ANOAwtj3otZvWV-KbLzsCKdsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/960642-peach-dump-cake-Sugarplum-4x3-1-0ff94d746cae437dab07f66956fcfd47.jpg,quantity: 1.0 unit: piece ingredient: box yellow cake mix quantity: 171 unit: g ingredient: butter,"butter, cake, cake mix, peach, syrup",45
Peachy Bread Pudding with Caramel Sauce,"Preheat an oven to 325 degrees F (165 degrees C). Grease a 9x13-inch baking dish.
Chop the peaches and lightly mash them in a mixing bowl. Combine the sweetened condensed milk and the eggs; add them to the peaches and mix well. Stir in the hot water melted butter cinnamon and vanilla. Stir the French bread into to the custard mixture until the bread is completely moistened. Turn the pudding into the prepared baking dish.
Bake until a knife inserted in the center of the pudding comes out clean about 1 hour and 10 minutes.
While the pudding is baking combine the brown sugar 1/2 cup butter corn syrup and rum in a saucepan. Bring to a boil over medium heat and simmer for 3 to 4 minutes or until just slightly thickened. Let cool slightly.
Remove the pudding from the oven and let it cool for about ten minutes before serving. Serve warm with the caramel sauce. Cool and cover any leftover pudding and store it in the refrigerator.









",Desserts,"Total Fat: 20.0, Saturated Fat: 12.0, Total Carbohydrate: 61.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/N5Ch9siAU_8Zp-4PiLkQXEr4QNQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6721333-60808fdc1b1e4da8ba4b288992bf3e85.jpg,quantity: 1.0 unit: can ingredient: sweetened condensed milk quantity: 3.0 unit: piece ingredient: eggs quantity: 300 unit: ml ingredient: hot water quantity: 57 unit: g ingredient: butter quantity: 5 unit: g ingredient: ground cinnamon quantity: 5 unit: g ingredient: vanilla extract quantity: 960 unit: ml ingredient: French bread,"bread, butter, cinnamon, condensed milk, egg, milk, peach, vanilla, vanilla extract, water",95
Peach and Tomato Caprese Salad,"Whisk olive oil balsamic vinegar and 1 pinch flaked salt together in a bowl until dressing is smooth.
Alternate tomato slices peach slices basil leaves and mozzarella slices in layers on a platter. Drizzle dressing over salad and sprinkle remaining flaked salt on top.









",Salad,"Total Fat: 19.0, Saturated Fat: 9.0, Total Carbohydrate: 8.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/9TPMC7YP6qCUEmYmWM6CuXbSFrA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4531443-011ac1b2556f4224b25de664c458ca08.jpg,quantity: 15 unit: g ingredient: balsamic vinegar quantity: 5 unit: g ingredient: flaked salt quantity: 2.0 unit: piece ingredient: large heirloom tomatoes quantity: 2.0 unit: piece ingredient: ripe peaches - halved quantity: 6.0 unit: piece ingredient: leaves fresh basil quantity: 1.0 unit: piece ingredient: ball fresh mozzarella,"balsamic vinegar, basil, mozzarella, oil, olive oil, peach, salt, vinegar",15
Baked Peaches,"Preheat oven to 350 degrees F (175 degrees C).
Spread peach slices into a baking dish in a single layer. Stir brown sugar substitute pecans flour and vanilla extract together; spread over the peach slices.
Bake in preheated oven until the peaches are heated through 20 to 30 minutes.",Desserts,"Total Fat: 3.0, Saturated Fat: 0.0, Total Carbohydrate: 21.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/g1jAg_Nt-e9G5lhV_-KGTbVnGOY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2227498-603893f3c0064200aa78b7ff6ffe0210.jpg,quantity: 69 unit: g ingredient: brown sugar substitute quantity: 60 unit: ml ingredient: pecans quantity: 15 unit: g ingredient: all-purpose flour quantity: 5 unit: g ingredient: vanilla extract,"brown sugar, flour, peach, pecan, sugar, sugar substitute, vanilla, vanilla extract",30
Banana Peach Bread,"Preheat oven to 350 degrees F (175 degrees C). Grease the bottom of a 5x9-inch loaf pan.
Beat white sugar and butter together in a large bowl with an electric mixer until light and fluffy. Add brown sugar and hot chocolate mix; stir well.
Place bananas peach milk eggs and vanilla extract in a blender; blend until smooth. Stir into butter mixture until well incorporated.
Mix flour walnuts baking soda and salt together in a separate bowl; stir into banana-butter mixture until flour mixture is just moistened. Pour batter into the prepared loaf pan.
Bake in the preheated oven until a toothpick inserted in the center of bread comes out clean 50 to 60 minutes. Cool in pan for 5 minutes before transferring bread to a wire rack to cool completely.",Breakfast and Brunch,"Total Fat: 9.0, Saturated Fat: 4.0, Total Carbohydrate: 29.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/f2nrhN-ZW8fm9uYMDFbo7XhYxIg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1343347-3b409d3e324547088fb58aeaa852aaa7.jpg,quantity: 114 unit: g ingredient: butter quantity: 15 unit: g ingredient: brown sugar quantity: 15 unit: g ingredient: instant hot chocolate mix quantity: 3.0 unit: piece ingredient: bananas quantity: 1.0 unit: piece ingredient: large fresh peach - peeled quantity: 60 unit: ml ingredient: milk quantity: 2.0 unit: piece ingredient: eggs quantity: 15 unit: g ingredient: vanilla extract quantity: 256 unit: g ingredient: all-purpose flour quantity: 120 unit: ml ingredient: chopped walnuts (Optional) quantity: 5 unit: g ingredient: baking soda quantity: 5 unit: g ingredient: salt,"baking soda, banana, brown sugar, butter, chocolate, egg, flour, milk, peach, salt, sugar, vanilla, vanilla extract, walnut",130
Bananerberry Smoothie,In a blender combine strawberries banana peaches apples and ice cream. Blend until smooth. Add ice pour in milk and blend again until smooth. Serve immediately.,Breakfast and Brunch,"Total Fat: 13.0, Saturated Fat: 8.0, Total Carbohydrate: 58.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/42bkUI8CFjoLdeqporpBD5F7jp0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/433563-bananerberry-smoothie-Pam-Ziegler-Lutz-4x3-1-5ee163f5d3fa4b30ab66f2616f50f9bf.jpg,quantity: 1.0 unit: piece ingredient: banana quantity: 240 unit: ml ingredient: fresh peaches quantity: 240 unit: ml ingredient: apples quantity: 360 unit: ml ingredient: vanilla ice cream quantity: 360 unit: ml ingredient: ice cubes quantity: 120 unit: ml ingredient: milk,"apple, banana, cream, ice, ice cream, ice cube, milk, peach, strawberry, vanilla",10
Grandmas Peach French Toast,"In a saucepan stir together the brown sugar butter and water. Bring to a boil then reduce heat to low and simmer for 10 minutes stirring frequently.
Pour the brown sugar mixture into a 9x13 inch baking dish and tilt the dish to cover the entire bottom. Place peaches in a layer over the sugar coating then top with slices of French bread. In a medium bowl whisk together the eggs and vanilla. Slowly pour over the bread slices to coat evenly. Sprinkle cinnamon over the top. Cover and refrigerate for 8 hours or overnight.
Remove the dish from the refrigerator about 30 minutes before baking to come to room temperature. Preheat the oven to 350 degrees F (175 degrees C).
Bake for 25 to 30 minutes in the preheated oven or until the bread is golden brown. Spoon out portions to serve.",Breakfast and Brunch,"Total Fat: 15.0, Saturated Fat: 8.0, Total Carbohydrate: 51.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/d53mn93zN6ziE2H6YCKLeurwoUI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5337339-4187382f2337406c998fa1c1e224d461.jpg,quantity: 114 unit: g ingredient: butter quantity: 30 unit: g ingredient: water quantity: 1.0 unit: can ingredient: sliced peaches quantity: 12.0 unit: piece ingredient: slices day-old French bread quantity: 5.0 unit: piece ingredient: eggs quantity: 15 unit: g ingredient: vanilla extract quantity: 1 unit: g ingredient: ground cinnamon,"bread, brown sugar, butter, cinnamon, egg, peach, sugar, vanilla, vanilla extract, water",585
Fresh Peach Pie I,"Combine sugar water cornstarch butter or margarine mashed peaches and nutmeg in a saucepan. Cook over medium heat until clear and thick. Stir in vanilla.
Fill pie shell with sliced fresh peaches alternating with the glaze. Refrigerate.",Desserts,"Total Fat: 9.0, Saturated Fat: 3.0, Total Carbohydrate: 44.0, Dietary Fiber: 0.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/K4zHRQhHYdUV1Vi2nWtufvNAzTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533102-fresh-peach-pie-i-Karen-4x3-1-3a7890d118ab43e79f54414b8073e37a.jpg,quantity: 210 unit: g ingredient: white sugar quantity: 120 unit: ml ingredient: water quantity: 45 unit: g ingredient: cornstarch quantity: 15 unit: g ingredient: butter quantity: 480 unit: ml ingredient: fresh peaches quantity: 1 unit: g ingredient: ground nutmeg quantity: 5 unit: g ingredient: vanilla extract quantity: 960 unit: ml ingredient: fresh peaches - pitted,"butter, cornstarch, nutmeg, peach, sugar, vanilla, vanilla extract, water",55
Mango Peach and Pineapple Salsa,Place the mango peach pineapple tomato onion red pepper yellow pepper and cilantro in a mixing bowl. Stir in the garlic jalapeno lime juice salt sugar and water. Cover and refrigerate at least 1 hour before serving.,Appetizers and Snacks,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 10.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/WI4AYyHsy5Kz-dtE17vXz2h9QWI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/225040-97196159984d4e77b1fdb9e3fec702ca.jpg,quantity: 2.0 unit: piece ingredient: small peaches quantity: 240 unit: ml ingredient: diced fresh pineapple quantity: 4.0 unit: piece ingredient: tomatoes quantity: 1.0 unit: piece ingredient: white onion quantity: 1.0 unit: piece ingredient: red bell pepper quantity: 1.0 unit: piece ingredient: yellow bell pepper quantity: 240 unit: ml ingredient: chopped fresh cilantro quantity: 1.0 unit: piece ingredient: clove garlic quantity: 1.0 unit: piece ingredient: small jalapeno pepper quantity: 30 unit: g ingredient: lime juice quantity: 5 unit: g ingredient: salt quantity: 30 unit: g ingredient: white sugar quantity: 180 unit: ml ingredient: water,"bell pepper, cilantro, garlic, jalapeno, juice, lime, lime juice, mango, onion, peach, pepper, pineapple, red bell pepper, salt, sugar, water, white onion",80
Grandmas Peach Cobbler,"Preheat oven to 350 degrees F (175 degrees C). Place 1/2 cup butter in a casserole dish.
Place casserole dish in the preheating oven until butter is melted. Remove.
Mix remaining 1/4 cup butter peaches 1/2 cup white sugar brown sugar cinnamon nutmeg and vanilla extract together in a bowl. Spread over melted butter in the casserole dish.
Mix remaining 1 cup white sugar milk flour baking powder and salt together in a bowl to make a smooth batter. Pour over peach mixture.
Bake in the preheated oven until golden brown about 45 minutes. Let stand for 10 minutes before serving.",Desserts,"Total Fat: 15.0, Saturated Fat: 9.0, Total Carbohydrate: 57.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/ddkruPV3ET7Fg2Og89ShbzbtXx8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6022309-695a276327e443b6964b53be753f9313.jpg,quantity: 1.0 unit: can ingredient: peaches in heavy syrup quantity: 315 unit: g ingredient: white sugar quantity: 105 unit: g ingredient: brown sugar quantity: 5 unit: g ingredient: ground cinnamon quantity: 5 unit: g ingredient: ground nutmeg quantity: 1 unit: g ingredient: vanilla extract quantity: 240 unit: ml ingredient: milk quantity: 128 unit: g ingredient: all-purpose flour quantity: 15 unit: g ingredient: baking powder quantity: 1 unit: g ingredient: salt,"baking powder, brown sugar, butter, cinnamon, flour, milk, nutmeg, peach, salt, sugar, syrup, vanilla, vanilla extract",65
Homemade Peach Tea,"Mix 1 cup water sugar and peach slices together in a saucepan; bring to a boil. Reduce heat to medium and simmer crushing peach slices as you stir until sugar is dissolved about 5 minutes. Remove saucepan from heat cover and allow peaches to infuse syrup about 30 minutes. Strain to remove peach slices.
Bring 6 cups remaining water to a boil in a separate pot. Remove from heat add tea bags cover and steep for about 5 minutes.
Remove tea bags from the pot pour in peach syrup and cool to room temperature. Refrigerate until ready to serve.",Drinks Recipes,"Total Fat: 0, Saturated Fat: 0, Total Carbohydrate: 34.0, Dietary Fiber: 0, Total Sugars: 34.0, Protein: 0",https://www.allrecipes.com/thmb/u8vY_h4u8-jVlyUloTYFV6Zfc-g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7005265-269e317584904813ba66619ae04beb46.jpg,quantity: 210 unit: g ingredient: white sugar quantity: 2.0 unit: piece ingredient: slices fresh peach,"peach, sugar, water",50
Spicy Peach Chutney,"In a large heavy pot stir together the peaches raisins garlic onion preserved ginger chili powder mustard seed curry powder brown sugar and cider vinegar. Wrap the pickling spice in a cheesecloth bag and place in the pot.
Bring to a boil and cook over medium heat uncovered until the mixture reaches your desired consistency. It will take about 1 1/2 hours to get a good thick sauce. Stir frequently to prevent scorching on the bottom.
Remove the spice bag and ladle into hot sterilized jars. Wipe the rims with a clean moist cloth. Seal with lids and rings and process in a barely simmering water bath for 10 minutes or the time recommended by your local extension for your area. The water should cover the jars completely.",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 13.0, Dietary Fiber: 0.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/XU-j3QIhju3tfUlLFC_SCN1DbO4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1039317-0a4ccdaf874e434d9f610cd1645afda3.jpg,quantity: 240 unit: ml ingredient: raisins quantity: 2.0 unit: piece ingredient: cloves garlic quantity: 120 unit: ml ingredient: chopped onion quantity: 150 unit: g ingredient: chopped preserved ginger quantity: 22 unit: g ingredient: chili powder quantity: 15 unit: g ingredient: mustard seed quantity: 5 unit: g ingredient: curry powder quantity: 840 unit: g ingredient: packed brown sugar quantity: 960 unit: ml ingredient: apple cider vinegar quantity: 60 unit: ml ingredient: pickling spice,"apple, apple cider, apple cider vinegar, brown sugar, chili, chili powder, curry, garlic, ginger, mustard, mustard seed, onion, peach, pickling spice, raisin, sugar, vinegar",600
Pear Tarte Tatin,"Remove refrigerated pie crust from package and follow manufacturers suggestions for unrolling crust. Set aside.
Combine nutmeg ginger and 2 tablespoons sugar in a small bowl.
Peel quarter and core 4 pears. Slice each quarter into 3 slices from core end to bottom and place in a large bowl. Cut remaining pear in half; peel and core one half and add to the bowl. Peel core and slice the other half as directed above and add to the bowl. Drizzle pears with bourbon and sprinkle with spice-sugar mix tossing to evenly coat.
Melt butter in a 9-inch cast-iron skillet over medium heat. Add 2/3 cup white sugar and salt to the melted butter stirring to combine until mixture bubbles 2 to 3 minutes. Place the single pear half in the center of the skillet. Fan remaining pear slices around the center core end to the outside of the skillet and stem end toward the center. If possible turn the pieces in the same direction. Keep adding pear slices filling in any gaps until they are all in the skillet.
Reduce heat to medium-low. Cook undisturbed until pears are fork-tender and color develops to the liquid about 20 minutes.
Preheat the oven to 375 degrees F (190 degrees C). Place a baking sheet on a rack in the lower third of the oven.
Remove skillet from heat and place unbaked pie shell on top of the fruit using a fork to tuck the edges of the pie shell toward the bottom of the skillet. Place skillet on the prepared baking sheet in the preheated oven. Reduce temperature to 350 degrees F (175 degrees C).
Bake until crust is brown 28 to 30 minutes. Remove from oven. Place a heat-safe plate larger than the skillet upside down over the crust.
Use oven mitts to grab the plate and skillet together and quickly flip the skillet contents onto the plate; this move is tricky and requires some forearm strength and dexterity. After the flip if the contents are not centered on the plate use a spatula to gently move to the center. Add any fruit that remained in the skillet and drizzle any remaining liquid over the top of the tarte tatin.
Allow to sit 15-20 minutes then serve warm.",Cuisine,"Total Fat: 22.0, Saturated Fat: 8.0, Total Carbohydrate: 58.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/7seKGjAsxcA4QJ9OZGBIN7TdBhU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6096249-f0ed5299a04348df8cf34e8d531d493b.jpg,quantity: 1 unit: g ingredient: ground nutmeg quantity: 2 unit: g ingredient: ground ginger quantity: 30 unit: g ingredient: white sugar quantity: 5.0 unit: piece ingredient: firm pears quantity: 30 unit: g ingredient: good quality bourbon whiskey quantity: 60 unit: g ingredient: unsalted butter quantity: 141 unit: g ingredient: white sugar quantity: 1 unit: g ingredient: salt,"bourbon whiskey, butter, ginger, nutmeg, pear, pie crust, salt, sugar, whiskey",85
Pear Sour Cream Pie,"Preheat an oven to 350 degrees F (175 degrees C). Roll out the pastry and transfer it to a 9-inch pie plate. Trim any extra dough and crimp the edge.
Combine 1/2 cup sugar sour cream 1/4 cup flour egg vanilla and salt in a bowl until blended. Fold in the pears. Pour the mixture into the pie plate and bake the pie for 15 minutes.
While the pie is baking prepare the topping: mix the 2/3 cup flour 1/3 cup sugar melted butter and rolled oats together in a bowl.
Remove the pie from the oven and sprinkle with the crumble topping. Return the pie to the oven and bake until the filling is set and the crust is brown about 20 minutes more. Allow to cool and set before serving.",Desserts,"Total Fat: 29.0, Saturated Fat: 14.0, Total Carbohydrate: 86.0, Dietary Fiber: 7.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/630oLLt8S74uTRqQR3YAJXXnYFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3984976-a0542be6eeca47eaae39dab483236de1.jpg,quantity: 105 unit: g ingredient: white sugar quantity: 240 unit: ml ingredient: sour cream quantity: 32 unit: g ingredient: all-purpose flour quantity: 1.0 unit: piece ingredient: egg quantity: 5 unit: g ingredient: vanilla extract quantity: 1 unit: g ingredient: salt quantity: 4.0 unit: piece ingredient: large pears - peeled,"cream, egg, flour, pear, pie crust, salt, sour cream, sugar, vanilla, vanilla extract",190
Sour Cream Pear Pie,"Preheat the oven to 350 degrees F (175 degrees C).
In a medium bowl stir together 3/4 cup sugar 1 tablespoon flour cinnamon and salt. Mix in the egg and sour cream until smooth. Add pears and stir gently until coated. Pour the mixture into a graham cracker crust.
Bake for 25 minutes in the preheated oven. While the pie is baking make the topping in a medium bowl. Stir together the sugar and flour. Cut in butter until the mixture resembles coarse crumbs. Sprinkle topping over the pie.
Bake for an additional 30 minutes. Cool completely before serving.









",Desserts,"Total Fat: 30.0, Saturated Fat: 15.0, Total Carbohydrate: 74.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/PkltlR4goR6gwVyWpW5H67Wingc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7226866-a783ef8cf13a42acb1298e2b70558dd7.jpg,quantity: 15 unit: g ingredient: all-purpose flour quantity: 1 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: salt quantity: 1.0 unit: piece ingredient: egg quantity: 240 unit: ml ingredient: sour cream quantity: 2.0 unit: cans ingredient: pears quantity: 1.0 unit: piece ingredient: graham cracker crust quantity: 105 unit: g ingredient: sugar quantity: 153 unit: g ingredient: butter quantity: 86 unit: g ingredient: all-purpose flour,"butter, cinnamon, cracker, cream, egg, flour, pear, salt, sour cream, sugar",70
Pear Pie III,"Preheat the oven to 350 degrees F (175 degrees C).
Press the pie pastry into the bottom and up the sides of a 9 inch pie plate. Flute the edges. Place the pear halves cut side down in the pie crust with the small ends toward the center.
In a medium bowl mix the butter and sugar together until smooth then beat in the eggs one at a time until light and fluffy. Stir in flour and vanilla. Pour over the top of the pears.
Bake for 1 hour in the preheated oven until pears are soft and custard is set in the center. Cool completely before slicing and serving.",Desserts,"Total Fat: 15.0, Saturated Fat: 6.0, Total Carbohydrate: 47.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/-c2XqtAA0z3fPJUzsVGe6y59DFU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5791553-0dcee488a39a4a6792f360767bee837e.jpg,quantity: 2.0 unit: piece ingredient: pears - peeled quantity: 210 unit: g ingredient: white sugar quantity: 57 unit: g ingredient: butter quantity: 32 unit: g ingredient: all-purpose flour quantity: 15 unit: g ingredient: vanilla extract quantity: 2.0 unit: piece ingredient: eggs,"butter, egg, flour, pear, pie crust, sugar, vanilla, vanilla extract",75
Rustic Autumn Fruit Tart,"Cut the cold butter and cream cheese into the flour with a knife or pastry blender until the mixture resembles coarse crumbs. (This can also be done in a food processor: pulse the cold butter into the flour until the mixture resembles cornmeal; add the cream cheese and pulse until its the size of small peas.) When you squeeze a handful of the mixture it should form a ball. Shape the dough into a round disk wrap it in plastic and refrigerate for at least 1 hour.
Toss the sliced apples and pear with the orange juice. Whisk together the brown sugar cinnamon nutmeg cardamom and cornstarch. Toss the fruit with the sugar-spice mixture and set aside.
Preheat an oven to 375 degrees F (190 degrees C). Set out an 8-inch tart pan or if youll be making a free-form tart (galette) lightly grease a baking sheet.
Roll the pastry out on a lightly floured work surface to form a 10-inch circle. Transfer the dough to the tart pan or baking sheet. Arrange the fruit decoratively in the tart pastry. If youre baking the tart on a baking sheet leave a 2-inch rim of dough and fold it up over the edge of the fruit (the pastry folds will overlap).
Bake the tart in the preheated oven until the crust is browned and the filling is bubbly about 30 minutes. Remove the tart from the oven and brush it with the apricot jam.",Desserts,"Total Fat: 17.0, Saturated Fat: 11.0, Total Carbohydrate: 51.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/YobgWn4WpEi7WcirYVcfezX5ht8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1443473-d4a2ae76ef574b10851b04b014823843.jpg,quantity: 120 unit: ml ingredient: cream cheese quantity: 192 unit: g ingredient: all-purpose flour quantity: 2.0 unit: piece ingredient: apples - peeled quantity: 1.0 unit: piece ingredient: pear - peeled quantity: 60 unit: ml ingredient: orange juice quantity: 69 unit: g ingredient: brown sugar quantity: 2 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: ground nutmeg quantity: 1 unit: g ingredient: ground cardamom quantity: 22 unit: g ingredient: cornstarch quantity: 120 unit: ml ingredient: apricot jam,"apple, apricot, apricot jam, brown sugar, butter, cardamom, cheese, cinnamon, cornstarch, cream, cream cheese, flour, juice, nutmeg, orange, orange juice, pear, sugar",105
Cheddar Pear Pie,"Preheat the oven to 400 degrees F (200 degrees C).
Combine the flour 1/2 cup brown sugar and Cheddar cheese. Cut in the butter until the mixture resembles coarse crumbs.
Toss the sliced pears with the lemon juice. Combine the 1/2 cup brown sugar cornstarch and cinnamon in a separate bowl. Add the sugar mixture to the pears and toss to coat.
Transfer the pears to the pie crust and top with the crumble mixture. Bake in the preheated oven until the top is golden brown about 45 minutes.",Desserts,"Total Fat: 21.0, Saturated Fat: 9.0, Total Carbohydrate: 87.0, Dietary Fiber: 7.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/pbBYeErgvZq227MquoW3h3YeKU8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4002821-12cf8e65840a408594f3695f63449aa4.jpg,quantity: 105 unit: g ingredient: brown sugar quantity: 120 unit: ml ingredient: shredded Cheddar cheese quantity: 57 unit: g ingredient: butter,"brown sugar, butter, cheddar, cheddar cheese, cheese, flour, sugar",65
Hasselback Pear Tart,"Preheat oven to 400 degrees F (200 degrees C). Fit puff pastry into a 10-inch square tart pan with removable sides.
Place a pear half cut-side down onto a work surface. Place a chopstick above and below the pear half so the pear is framed on the top and bottom. Thinly slice the pear half lengthwise stopping when the knife hits the chopstick and leaving the bottom 1/4 inch of the pear intact. Repeat with the remaining pear halves.
Place hasselbacked pears in a bowl; add white sugar and lemon juice and gently toss to coat. Let hasselbacked pears stand for 5 minutes.
Mix cream cheese confectioners sugar and vanilla extract together in a bowl; spread over puff pastry. Arrange hasselbacked pears over cream cheese layer cutting some of the halves into quarters if needed to fit them in. Slightly fan out each pear and drizzle any accumulated juices from the pear bowl over pears. Sprinkle turbinado sugar over tart.
Bake in the preheated oven until crust is puffed and lightly browned and juices are bubbling about 35 minutes. Cool tart for 15 minutes before slicing.",Desserts,"Total Fat: 17.0, Saturated Fat: 6.0, Total Carbohydrate: 43.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/ftrWYczkvsBmlJAirUZ-6RzHSG4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4059860-05ea871c1a9149868457d90bc9e2d487.jpg,"quantity: 2.0 unit: piece ingredient: Bartlett pears quantity: 2.0 unit: piece ingredient: ""d Anjou pears"" quantity: 1.0 unit: piece ingredient: red pear quantity: 30 unit: g ingredient: white sugar quantity: 0.5 unit: piece ingredient: lemon quantity: 0.5 unit: package ingredient: cream cheese quantity: 105 unit: g ingredient: ""confectioners sugar"" quantity: 2 unit: g ingredient: vanilla extract quantity: 15 unit: g ingredient: turbinado sugar","cheese, cream, cream cheese, lemon, pear, puff pastry, sugar, vanilla, vanilla extract",75
Scandinavian Pear Tart,"Preheat the oven to 425 degrees F (220 degrees C). Coat a 9-inch fluted tart pan with a removable bottom with cooking spray.
Beat sugar and butter together in a small bowl until crumbly. Beat in flour and almonds. Press over the bottom and up the sides of the prepared tart pan.
Beat cream cheese in another small bowl until smooth. Beat in sugar egg and vanilla extract. Spread over the crust. Arrange pear slices over the cream cheese layer.
Combine sugar cardamom and cinnamon in a small bowl. Sprinkle over the pears.
Bake in the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C). Continue baking until filling is set and an instant-read thermometer inserted into the center reads 160 degrees F (71 degrees C) 15 to 20 minutes.
Cool tart on a wire rack for 1 hour. Refrigerate for at least 2 hours before slicing.",Desserts,"Total Fat: 17.0, Saturated Fat: 9.0, Total Carbohydrate: 38.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/jAN3oDk35AlEvxawtyqAR0azl8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7282942-aa6d9a57b7f64863985903e48ed74f83.jpg,quantity: 45 unit: g ingredient: butter quantity: 96 unit: g ingredient: all-purpose flour quantity: 79 unit: ml ingredient: finely chopped almonds,"almond, butter, flour, sugar",230
